编号,身份名称,特征描述,趣事提示
201,时间旅行者,时光机，不同时代服装,"从""过去""或""未来""回来"
202,隐形人,完全透明,"发出""看不见我""的声音"
203,分身人,多个自己,"和自己""对话"""
204,缩小人,只有几厘米高,"在""巨人世界""（房间）探险"
205,巨人,比房子还高,"俯视""小人国"""
206,橡皮人,身体能拉伸,"把手臂""拉长""拿远处的东西"
207,冰冻人,能冻结一切,"把饮料""瞬间冰冻"""
208,火焰人,身体燃烧火焰,"用""火焰""加热早餐"
209,闪电人,速度快如闪电,"瞬间""移动""到厨房"
210,石头人,身体由岩石组成,"坚硬地""站立""不动"
211,水人,身体由水组成,"能""流动""穿过缝隙"
212,风人,身体由风组成,"用""风力""吹动东西"
213,影子人,只有影子，没有实体,"在墙上""表演""影子戏"
214,镜中人,镜像中的自己,做和镜子外相反的动作
215,梦境行者,能进入他人梦境,"描述昨晚的""奇妙梦境"""
216,预言家,能预知未来,预测今天会发生什么
217,读心者,能读取他人思想,"""知道""家人在想什么"
218,心灵感应者,能用意念移动物体,"用""意念""拿东西"
219,瞬间移动者,能瞬间移动到任何地方,"""消失""又""出现"""
220,穿墙者,能穿过墙壁,"从墙里""穿""出来"
221,飞行者,能在空中飞行,"在房间里""飞翔"""
222,水下呼吸者,能在水下呼吸,"把头埋在水里""呼吸"""
223,变形者,能变成任何形状,"变成""椅子""或""桌子"""
224,复制人,能复制自己,"出现""多个马丁"""
225,记忆消除者,能消除他人记忆,"""忘记""自己是谁"
226,时间停止者,能停止时间,"让一切都""静止"""
227,时间倒流者,能让时间倒流,"""倒着""做动作"
228,平行世界来客,来自另一个世界,"描述""另一个世界""的样子"
229,虚拟角色,来自电子游戏,用游戏角色的语气说话
230,卡通人物,来自动画片,做夸张的卡通动作
231,漫画英雄,来自漫画书,做出漫画中的经典 pose
232,神话英雄,来自神话传说,"讲述自己的""英雄事迹"""
233,星座守护者,代表某个星座,用星座的特点行事
234,元素精灵,代表某种元素,用元素的力量
235,守护灵,保护某人的灵体,"""守护""家人的安全"
236,祖先灵魂,已故祖先的灵魂,"用""古老""的方式说话"
237,未来自己,来自未来的马丁,"给""现在的自己""建议"
238,过去自己,来自过去的马丁,"用""小时候""的方式说话"
239,另一个自己,性格相反的自己,做和平时相反的事
240,理想自己,理想中的马丁,"做""完美""的自己"
241,埃及法老,金色头饰，权杖,"命令""臣民""建造""金字塔""（积木）"
242,埃及艳后,华丽妆容，蛇形饰品,"用""魅力""征服家人"
243,罗马皇帝,月桂冠，长袍,"在""竞技场""（客厅）观看""角斗"""
244,希腊哲学家,长袍，胡须，思考,"思考""早餐的意义"""
245,斯巴达战士,红色披风，盾牌,"用""斯巴达""方式训练"
246,维京海盗,牛角盔，战斧,"乘船（沙发）""掠夺"""
247,中世纪骑士,盔甲，长剑，战马,"骑着""战马""（扫帚）去""战斗"""
248,城堡公主,长裙，塔楼,"在""塔楼""（床上）等待""王子"""
249,吟游诗人,鲁特琴，歌谣,"用歌声讲述""英雄故事"""
250,炼金术士,实验室，坩埚,"试图把麦片变成""黄金"""
251,忍者,黑色服装，飞镖,"用""忍术""隐身"
252,武士,和服，武士刀,"用""武士道""精神面对早餐"
253,艺伎,白色妆容，和服,"优雅地表演""茶道"""
254,中国古代皇帝,龙袍，玉玺,"颁布""圣旨""决定早餐"
255,中国古代将军,盔甲，宝剑,"指挥""军队""（玩具）"
256,中国古代诗人,长袍，扇子，酒壶,作诗赞美早餐
257,丝绸之路商人,骆驼，货物,"""贩卖""家里的物品"
258,郑和,宝船，航海图,"""下西洋""探险"
259,哥伦布,船，地图,"""发现新大陆""（厨房）"
260,达芬奇,画板，发明,"画下""蒙娜丽莎的微笑""（家人）"
261,米开朗基罗,凿子，大理石,"""雕刻""早餐（其实是切面包）"
262,莎士比亚,羽毛笔，剧本,"用""戏剧""方式说话"
263,牛顿,苹果，万有引力,"研究""苹果为什么落地"""
264,爱因斯坦,爆炸头，公式,"用""相对论""解释早餐"
265,爱迪生,灯泡，发明,"""发明""新的早餐吃法"
266,特斯拉,线圈，电流,"用""电力""加热早餐"
267,居里夫人,实验室，放射性,"研究""放射性麦片"""
268,拿破仑,军帽，手插口袋,"指挥""军队""（玩具兵）"
269,维多利亚女王,华丽礼服，皇冠,"用""女王""的威严说话"
270,牛仔（西部）,牛仔帽，左轮枪,"在""荒野""（后院）探险"
271,印第安酋长,羽毛头饰，战斧,"用""部落语言""说话"
272,海盗船长（黑胡子）,黑胡子，火药,"寻找""宝藏""（零食）"
273,罗宾汉,绿帽子，弓箭,"""劫富济贫""（分享零食）"
274,佐罗,黑面具，黑披风,"在墙上留下""Z""字"
275,福尔摩斯,猎鹿帽，烟斗，放大镜,"侦查""谁吃了最后一块饼干"""
276,华生医生,医生包，记录本,"记录""福尔摩斯""的推理"
277,德古拉伯爵,披风，尖牙,"邀请""猎物""（家人）共进晚餐"
278,科学怪人（弗兰肯斯坦）,绿色皮肤，缝合,"""创造""新的生命（其实是玩偶）"
279,木乃伊（法老）,金色面具，绷带,"从""金字塔""（被窝）中""复活"""
280,亚瑟王,石中剑，圆桌,"召集""圆桌骑士""（家人）"
281,兰斯洛特骑士,银色盔甲,"保护""王后""（妈妈）"
282,梅林法师,长袍，水晶球,"用""魔法""预言未来"
283,圣女贞德,盔甲，旗帜,"带领""军队""（玩具）""战斗"""
284,马可波罗,旅行装，日记,"讲述""东方""的奇遇"
285,辛巴达,船，冒险故事,"讲述""七次航海""的故事"
286,阿里巴巴,洞穴，宝藏,"喊""芝麻开门""打开冰箱"
287,阿拉丁,神灯，飞毯,"乘坐""飞毯""（毯子）飞行"
288,孙悟空,金箍棒，猴毛,"用""七十二变""变化"
289,猪八戒,九齿钉耙，大耳朵,贪吃地吃光所有食物
290,沙僧,降妖宝杖，佛珠,"默默地挑着""行李"""
291,唐僧,袈裟，禅杖,"念经""超度""早餐"
292,哪吒,风火轮，混天绫,"踩着""风火轮""（轮滑鞋）飞驰"
293,二郎神,三眼，哮天犬,"用""第三只眼""看穿一切"
294,嫦娥,长裙，玉兔,"在""月宫""（阳台）""起舞"""
295,后羿,弓箭，射日,"""射下""家里的灯泡"
296,夸父,巨人，追日,"追逐""太阳""（台灯）"
297,精卫,小鸟，填海,"用""石子""（积木）填""海""（浴缸）"
298,盘古,巨人，开天辟地,"""开辟""新的房间"
299,女娲,人首蛇身，造人,"用""泥土""（橡皮泥）""造人"""
300,神农,尝百草，医药,"品尝各种""草药""（蔬菜）"
301,摇滚明星,皮夹克，电吉他,"用""摇滚""方式吃早餐"
302,流行歌手,华丽服装，麦克风,"开""演唱会""（唱歌）"
303,说唱歌手,大金链，棒球帽,"用""说唱""介绍早餐"
304,DJ,耳机，打碟机,"用""音乐""搭配早餐"
305,网红主播,手机，美颜灯,"""直播""吃早餐"
306,游戏主播,游戏手柄，耳机,"""直播""打游戏"
307,美食博主,相机，美食,"拍摄""美食视频"""
308,旅行博主,相机，地图,"讲述""旅行故事"""
309,健身教练（网红）,运动服，肌肉,"教""健身操"""
310,时尚博主,华丽服装，化妆品,"点评家人的""穿搭"""
311,程序员,格子衫，眼镜，电脑,"用""代码""解释早餐"
312,黑客,黑色衣服，多屏幕,"""黑入""家里的WiFi"
313,电竞选手,游戏装备，战队服,"进行""电竞比赛"""
314,宇航员（现代）,白色宇航服，头盔,"在""太空站""（房间）""漂浮"""
315,无人机操作员,遥控器，无人机,"用无人机""运送""早餐"
316,VR玩家,VR眼镜，手柄,"在""虚拟世界""吃早餐"
317,AI机器人,金属身体，AI语音,"用""人工智能""方式说话"
318,太空游客,太空服，失重,"体验""失重""吃早餐"
319,环保主义者,绿色服装，可回收标志,"强调""环保""早餐"
320,素食主义者,蔬菜服装,"只吃""素食""早餐"
321,美食评论家,笔记本，挑剔,"严格""点评""早餐"
322,米其林厨师,高帽，星级,"用""米其林标准""做早餐"
323,咖啡师,围裙，咖啡机,"制作""拉花咖啡"""
324,调酒师,调酒器，酒杯,"调制""无酒精鸡尾酒""（果汁）"
325,花店老板,围裙，花束,用鲜花装饰早餐
326,宠物美容师,围裙，美容工具,"给宠物""美容"""
327,无人机快递员,制服，无人机,"用无人机""送快递"""
328,智能家居管理员,平板，智能设备,"控制""智能家居"""
329,虚拟偶像,二次元形象，可爱,"用""虚拟偶像""方式说话"
330,Cosplayer,动漫服装，假发,"""扮演""动漫角色"
331,手办收藏家,展示柜，手办,"展示""珍贵手办"""
332,漫展组织者,工作证，对讲机,"组织""家庭漫展"""
333,剧本杀主持人,剧本，道具,"主持""家庭剧本杀"""
334,密室逃脱设计师,谜题，机关,"设计""家庭密室"""
335,塔罗牌占卜师,塔罗牌，水晶球,"用""塔罗牌""预测今天"
336,星座专家,星座图，星盘,"分析家人的""星座运势"""
337,风水大师,罗盘，八卦,"调整家里的""风水"""
338,瑜伽大师,瑜伽服，瑜伽垫,"教""高级瑜伽"""
339,冥想导师,坐垫，香炉,"引导""冥想"""
340,life coach,西装，笔记本,"给家人""人生建议"""
341,励志演讲家,西装，麦克风,"进行""励志演讲"""
342,谈判专家,西装，冷静,"谈判""早餐吃什么"""
343,危机公关,西装，电话,"处理""家庭危机"""
344,产品经理,电脑，数据,"""优化""早餐流程"
345,UI设计师,电脑，设计稿,"""设计""早餐摆盘"
346,数据分析师,电脑，图表,"""分析""早餐营养"
347,市场营销,西装，方案,"""营销""早餐给"
348,创业者,西装，PPT,"""路演""早餐项目"
349,投资人,西装，支票,"""投资""早餐创意"
350,记者（战地）,背心，相机,"""报道""早餐前线"
351,摄影师（野生动物）,长焦镜头，迷彩,"""拍摄""野生动物（宠物）"
352,纪录片导演,摄像机，剧本,"""拍摄""早餐纪录片"
353,电影导演,导演帽，剧本,"""导演""早餐大戏"
354,演员（ method acting）,角色服装，入戏,"完全""入戏""某个角色"
355,替身演员,相似服装，勇敢,"做""危险动作""（其实是安全动作）"
356,特技演员,护具，勇敢,"表演""特技"""
357,配音演员,耳机，麦克风,"用不同""声音""说话"
358,动画师,绘图板，动画,"""制作""早餐动画"
359,漫画家,画笔，漫画,"""创作""早餐漫画"
360,小说家,笔记本，灵感,"""创作""早餐故事"
361,诗人,笔记本，浪漫,"""作诗""赞美早餐"
362,哲学家,思考，深奥,"""思考""早餐的意义"
363,心理学家,眼镜，分析,"""分析""家人的心理"
364,社会学家,观察，研究,"""研究""家庭社会结构"
365,今天的自己,普通服装，真实,"享受""做自己""的一天"
